rank,code,name,px,bytes,source
,000080,하이트진로,480x480,55523,toss
96,000100,유한양행,480x480,38723,toss
185,000120,CJ대한통운,480x480,7236,toss
34,000150,두산,400x400,2154,toss
178,000155,두산우,480x480,5964,toss
,000210,DL,480x480,873,toss
154,000240,한국앤컴퍼니,480x480,14072,toss
12,000270,기아,480x480,1695,toss
109,000500,가온전선,480x480,13694,toss
2,000660,SK하이닉스,480x480,16321,toss
61,000720,현대건설,192x192,1495,toss
26,000810,삼성화재,480x480,18570,toss
83,000880,한화,480x480,26854,toss
100,000990,DB하이텍,480x480,37984,toss
110,001040,CJ,480x480,7236,toss
200,001120,LX인터내셔널,480x480,11016,toss
91,001440,대한전선,480x480,10269,toss
123,001450,현대해상,480x480,7125,toss
,001570,금양,480x480,12504,toss
145,001720,신영증권,480x480,20108,toss
184,001740,SK네트웍스,480x480,16321,toss
191,001800,오리온홀딩스,480x480,18552,toss
113,002380,KCC,480x480,16916,toss
,002710,TCC스틸,480x480,11210,toss
177,002790,아모레퍼시픽홀딩스,480x480,90147,toss
,003030,세아제강지주,480x480,15358,toss
,003090,대웅,480x480,23094,toss
76,003230,삼양식품,480x480,1783,toss
68,003490,대한항공,480x480,2855,toss
50,003550,LG,480x480,48806,toss
,003620,KG모빌리티,480x480,1818,toss
57,003670,포스코퓨처엠,480x480,17342,toss
150,003690,코리안리,480x480,3638,toss
,003850,보령,1920x1920,30212,toss
,004000,롯데정밀화학,480x480,18656,toss
120,004020,현대제철,480x480,27692,toss
90,004170,신세계,480x480,21906,toss
166,004370,농심,480x480,19224,toss
144,004800,효성,480x480,15823,toss
157,004990,롯데지주,480x480,18656,toss
,005070,코스모신소재,480x480,14385,toss
,005300,롯데칠성,480x480,18656,toss
6,005380,현대차,480x480,17626,toss
106,005385,현대차우,480x480,17626,parent:005380
81,005387,현대차2우B,480x480,17626,parent:005380
,005420,코스모화학,480x480,14385,toss
163,005440,현대지에프홀딩스,480x480,11086,toss
29,005490,POSCO홀딩스,480x480,17342,toss
65,005830,DB손해보험,480x480,37984,toss
146,005850,에스엘,480x480,10605,toss
1,005930,삼성전자,480x480,18570,toss
4,005935,삼성전자우,480x480,18570,parent:005930
62,005940,NH투자증권,480x480,15923,toss
195,006040,동원산업,480x480,20786,toss
,006110,삼아알미늄,480x480,11477,toss
66,006260,LS,480x480,11139,toss
199,006280,녹십자,480x480,41585,toss
140,006360,GS건설,480x480,39692,toss
21,006400,삼성SDI,480x480,18570,toss
,006650,대한유화,480x480,31392,toss
31,006800,미래에셋증권,160x160,1221,toss
164,007070,GS리테일,480x480,39692,toss
,007310,오뚜기,480x480,36877,toss
168,007340,DN오토모티브,480x480,2167,toss
77,007660,이수페타시스,480x480,1065,toss
182,007810,코리아써키트,1920x1920,16369,toss
173,008770,호텔신라,480x480,14787,toss
162,008930,한미사이언스,480x480,25062,toss
5,009150,삼성전기,480x480,18570,toss
189,009155,삼성전기우,480x480,18570,parent:009150
,009240,한샘,480x480,6647,toss
,009410,태영건설,480x480,11190,toss
131,009420,한올바이오파마,480x480,38314,toss
30,009540,HD한국조선해양,480x480,2258,toss
98,009830,한화솔루션,480x480,26854,toss
,009900,명신산업,480x480,23184,toss
149,009970,영원무역홀딩스,480x480,17850,toss
118,010060,OCI홀딩스,480x480,16447,toss
23,010120,LS ELECTRIC,480x480,11139,toss
35,010130,고려아연,86x86,1945,toss
37,010140,삼성중공업,480x480,18570,toss
52,010950,S-Oil,160x160,6121,toss
45,011070,LG이노텍,480x480,48806,toss
143,011170,롯데케미칼,480x480,18656,toss
41,011200,HMM,480x480,11598,toss
186,011210,현대위아,480x480,12402,toss
132,011780,금호석유화학,480x480,12724,toss
107,011790,SKC,480x480,16321,toss
18,012330,현대모비스,480x480,17178,toss
16,012450,한화에어로스페이스,480x480,26854,toss
122,012510,더존비즈온,480x480,16416,toss
138,012750,에스원,480x480,12479,toss
139,014680,한솔케미칼,480x480,12840,toss
,014820,동원시스템즈,480x480,20786,toss
32,015760,한국전력,480x480,30035,toss
67,016360,삼성증권,480x480,18570,toss
40,017670,SK텔레콤,480x480,16321,toss
141,017800,현대엘리베이터,192x192,1495,toss
,017860,DS단석,480x480,6084,toss
51,018260,삼성에스디에스,480x480,18570,toss
172,018670,SK가스,480x480,16321,toss
117,018880,한온시스템,480x480,20629,toss
180,020150,롯데에너지머티리얼즈,480x480,2767,toss
196,020560,아시아나항공,480x480,13052,toss
85,021240,코웨이,480x480,14577,toss
126,022100,포스코DX,480x480,17342,toss
108,023530,롯데쇼핑,480x480,18656,toss
190,023590,다우기술,480x480,12869,toss
46,024110,기업은행,480x480,20583,toss
147,026960,동서,480x480,3452,toss
75,028050,삼성E&A,480x480,18570,toss
11,028260,삼성물산,480x480,18570,toss
137,028670,팬오션,480x480,12169,toss
93,029780,삼성카드,480x480,18570,toss
165,030000,제일기획,480x480,16601,toss
56,030200,KT,480x480,14489,toss
130,031210,서울보증보험,480x480,2300,toss
86,032640,LG유플러스,480x480,9729,toss
8,032830,삼성생명,480x480,18570,toss
43,033780,KT&G,192x192,8113,toss
15,034020,두산에너빌리티,400x400,2154,toss
