ticker,name,as_of
000080,하이트진로,20260612
000100,유한양행,20260612
000120,CJ대한통운,20260612
000150,두산,20260612
000210,DL,20260612
000240,한국앤컴퍼니,20260612
000270,기아,20260612
000660,SK하이닉스,20260612
000670,영풍,20260612
000720,현대건설,20260612
000810,삼성화재,20260612
000880,한화,20260612
000990,DB하이텍,20260612
001040,CJ,20260612
001430,세아베스틸지주,20260612
001440,대한전선,20260612
001450,현대해상,20260612
001680,대상,20260612
001800,오리온홀딩스,20260612
002030,아세아,20260612
002380,KCC,20260612
002790,아모레퍼시픽홀딩스,20260612
002840,미원상사,20260612
003030,세아제강지주,20260612
003090,대웅,20260612
003230,삼양식품,20260612
003240,태광산업,20260612
003490,대한항공,20260612
003550,LG,20260612
003670,포스코퓨처엠,20260612
004000,롯데정밀화학,20260612
004020,현대제철,20260612
004170,신세계,20260612
004370,농심,20260612
004990,롯데지주,20260612
005300,롯데칠성,20260612
005380,현대차,20260612
005420,코스모화학,20260612
005490,POSCO홀딩스,20260612
005830,DB손해보험,20260612
005850,에스엘,20260612
005930,삼성전자,20260612
005940,NH투자증권,20260612
006040,동원산업,20260612
006260,LS,20260612
006280,녹십자,20260612
006400,삼성SDI,20260612
006650,대한유화,20260612
006800,미래에셋증권,20260612
007070,GS리테일,20260612
007310,오뚜기,20260612
007340,DN오토모티브,20260612
007660,이수페타시스,20260612
008730,율촌화학,20260612
008770,호텔신라,20260612
008930,한미사이언스,20260612
009150,삼성전기,20260612
009240,한샘,20260612
009420,한올바이오파마,20260612
009540,HD한국조선해양,20260612
009830,한화솔루션,20260612
009970,영원무역홀딩스,20260612
010060,OCI홀딩스,20260612
010120,LS ELECTRIC,20260612
010130,고려아연,20260612
010140,삼성중공업,20260612
010950,S-Oil,20260612
011070,LG이노텍,20260612
011170,롯데케미칼,20260612
011200,HMM,20260612
011210,현대위아,20260612
011780,금호석유화학,20260612
011790,SKC,20260612
012330,현대모비스,20260612
012450,한화에어로스페이스,20260612
012750,에스원,20260612
014680,한솔케미칼,20260612
014820,동원시스템즈,20260612
015760,한국전력,20260612
016360,삼성증권,20260612
017670,SK텔레콤,20260612
017800,현대엘리베이터,20260612
017960,한국카본,20260612
018260,삼성에스디에스,20260612
018880,한온시스템,20260612
021240,코웨이,20260612
022100,포스코DX,20260612
023530,롯데쇼핑,20260612
024110,기업은행,20260612
026960,동서,20260612
028050,삼성E&A,20260612
028260,삼성물산,20260612
028670,팬오션,20260612
029780,삼성카드,20260612
030000,제일기획,20260612
030200,KT,20260612
032640,LG유플러스,20260612
032830,삼성생명,20260612
033780,KT&G,20260612
034020,두산에너빌리티,20260612
034220,LG디스플레이,20260612
034230,파라다이스,20260612
034730,SK,20260612
035250,강원랜드,20260612
035420,NAVER,20260612
035720,카카오,20260612
036460,한국가스공사,20260612
036570,NC,20260612
039490,키움증권,20260612
042660,한화오션,20260612
042700,한미반도체,20260612
047040,대우건설,20260612
047050,포스코인터내셔널,20260612
047810,한국항공우주,20260612
051600,한전KPS,20260612
051900,LG생활건강,20260612
051910,LG화학,20260612
052690,한전기술,20260612
055550,신한지주,20260612
062040,산일전기,20260612
064350,현대로템,20260612
064400,LG씨엔에스,20260612
066570,LG전자,20260612
066970,엘앤에프,20260612
068270,셀트리온,20260612
069260,TKG휴켐스,20260612
069620,대웅제약,20260612
069960,현대백화점,20260612
071050,한국금융지주,20260612
071320,지역난방공사,20260612
071970,HD현대마린엔진,20260612
073240,금호타이어,20260612
078930,GS,20260612
079550,LIG디펜스앤에어로스페이스,20260612
081660,미스토홀딩스,20260612
082740,한화엔진,20260612
086280,현대글로비스,20260612
086790,하나금융지주,20260612
088350,한화생명,20260612
090430,아모레퍼시픽,20260612
093370,후성,20260612
096770,SK이노베이션,20260612
097950,CJ제일제당,20260612
103140,풍산,20260612
105560,KB금융,20260612
111770,영원무역,20260612
112610,씨에스윈드,20260612
120110,코오롱인더,20260612
128940,한미약품,20260612
137310,에스디바이오센서,20260612
138040,메리츠금융지주,20260612
138930,BNK금융지주,20260612
139130,iM금융지주,20260612
139480,이마트,20260612
161390,한국타이어앤테크놀로지,20260612
161890,한국콜마,20260612
175330,JB금융지주,20260612
180640,한진칼,20260612
185750,종근당,20260612
192080,더블유게임즈,20260612
192820,코스맥스,20260612
204320,HL만도,20260612
207940,삼성바이오로직스,20260612
241560,두산밥캣,20260612
251270,넷마블,20260612
259960,크래프톤,20260612
267250,HD현대,20260612
267260,HD현대일렉트릭,20260612
267270,HD건설기계,20260612
268280,미원에스씨,20260612
271560,오리온,20260612
272210,한화시스템,20260612
278470,에이피알,20260612
280360,롯데웰푸드,20260612
282330,BGF리테일,20260612
285130,SK케미칼,20260612
298020,효성티앤씨,20260612
298040,효성중공업,20260612
298050,HS효성첨단소재,20260612
300720,한일시멘트,20260612
302440,SK바이오사이언스,20260612
307950,현대오토에버,20260612
316140,우리금융지주,20260612
323410,카카오뱅크,20260612
326030,SK바이오팜,20260612
329180,HD현대중공업,20260612
352820,하이브,20260612
361610,SK아이이테크놀로지,20260612
373220,LG에너지솔루션,20260612
375500,DL이앤씨,20260612
377300,카카오페이,20260612
383220,F&F,20260612
402340,SK스퀘어,20260612
443060,HD현대마린솔루션,20260612
450080,에코프로머티,20260612
454910,두산로보틱스,20260612
456040,OCI,20260612
457190,이수스페셜티케미컬,20260612
483650,달바글로벌,20260612
