model,_acc_delta,n_test,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,ic_mean,ic_std,rank_ic_mean,rank_ic_std,decile_spread_mean,decile_spread_std
logistic,0.01709263015551049,109,0.4921699561050474,0.049346217076935185,0.5863510175530636,0.20910325689804166,0.6302811893988365,0.3050640138293082,0.4962962962962963,0.1999314011298634,0.5656569247745719,0.057259296051045294,0.17357565279152737,0.15149089169921648,0.16839185380767532,0.15450403612628005,2.67796326199683,3.36383960954709
ridge,-0.0015686274509804088,109,0.4735086984985565,0.036901695633832464,0.47865870986075587,0.020721043044326277,0.6302811893988365,0.3050640138293082,0.4890660995924153,0.19734919921920033,0.5556713547890019,0.05263777481146966,0.1569277129414453,0.16635601527309743,0.15748323909581516,0.1556521050427884,2.67796326199683,3.36383960954709
naive_bayes,0.0376213013941209,109,0.5126986273436578,0.10689685401937361,0.5339869281045752,0.10440345379997613,0.5955753070458953,0.20245766648417662,0.5310466988727858,0.12345947673801994,0.5645114036290508,0.11637870343945556,0.032135613249549014,0.2493949128664627,0.15741714901351195,0.21880862759179381,0.7255758861948414,3.3697649985578466
lda,-0.0015686274509804088,109,0.4735086984985565,0.036901695633832464,0.47865870986075587,0.020721043044326277,0.6302811893988365,0.3050640138293082,0.4890660995924153,0.19734919921920033,0.5556713547890019,0.05263777481146966,0.1639183498621636,0.15389018578480165,0.15576485943625903,0.15041889544516526,2.67796326199683,3.36383960954709
voting_soft,0.05083099906629318,109,0.5259083250158301,0.12936465387568089,0.5253968253968254,0.11505473190108015,0.49654492566257263,0.24877056390244434,0.4722975740003603,0.2142111912488392,0.5568369865428688,0.11600730645525408,0.13323587031779743,0.1804969745194164,0.11576930169222255,0.20793006173347356,3.60842854478791,2.2017209185355764
extra_trees,0.037336252508666345,109,0.5124135784582032,0.12867045782295894,0.48432900432900433,0.13389279376943375,0.4419295410471881,0.22396358832341842,0.4428571428571429,0.20483940947354196,0.5323788139964611,0.1389905977176294,0.1287206329659238,0.15575835960450304,0.05558041896000062,0.18568111539811882,1.971695172847906,2.796725296091993
svm_rbf,-0.01938332421091038,109,0.4556940017386265,0.11512908731588925,0.4532608695652174,0.09788350435226874,0.6480833872010342,0.3061107140378081,0.495072463768116,0.2046807853769901,0.5160757869581399,0.06166579639337334,0.007708730045340744,0.16204579636832878,0.05186188675045163,0.14517302949187225,-0.47276164733749065,2.979994727657766
random_forest,0.06513495819783865,109,0.5402122841473755,0.11485681578599383,0.5704761904761904,0.11310501210897922,0.4586942469295411,0.19238534389629378,0.47523809523809524,0.1667727553512193,0.5071294718353542,0.18211020322372437,0.08233605597969165,0.16616212346895612,0.0301520696789008,0.2456354653877867,0.38333235125630816,2.882270660525738
stacking,0.020740740740740726,109,0.4958180666902776,0.06183699060807538,0.5018315018315018,0.03776626056785934,0.629896574014221,0.3163410584841779,0.4998684394270133,0.19916918535407344,0.4963891990362579,0.1241584382147191,0.0628188161676739,0.14271300695761416,0.00766314370776845,0.1798910593556837,0.6523694640931745,4.088685142388341
grad_boost,0.016458568101570148,109,0.49153589405110704,0.1474160255856218,0.4192857142857143,0.18905481574402982,0.3314350355526826,0.2789846109238387,0.34784313725490196,0.24900107375579664,0.49416358151652273,0.19220273445030325,-0.02902644573648685,0.3114240811771758,0.004655104264859456,0.2881420328754838,0.38770420391920696,1.2654649419664639
decision_tree,0.010283224400871482,109,0.48536055035040837,0.07261596947370919,0.46803418803418806,0.06525482901268503,0.3583096315449256,0.2052656551281867,0.37906593406593403,0.14910723783481009,0.4947392313568784,0.06696727172375384,0.03353232721558611,0.21247889065359615,-0.002315009277755897,0.20758918051775646,0.4444757272482436,2.3125894423911806
hist_grad_boost,-0.029118773946360144,109,0.44595855200317674,0.062145795793192515,0.4310224089635854,0.06487708806503872,0.6183581124757594,0.3552955938408818,0.46645754542083795,0.20178655011488333,0.4703970049558285,0.024348266961562077,0.018358971882629138,0.14233448799863996,-0.014351030575635984,0.14652378758944887,1.461643115865645,2.862814544796038
knn,-0.06132586367880488,109,0.413751462270732,0.07887580918957647,0.42666666666666664,0.07555555555555556,0.5205074337427278,0.28854716362837135,0.42841781874039936,0.16005112432126847,0.4497511475452652,0.10232680624495573,-0.044519144848615924,0.13501954458664037,-0.05449099263812052,0.1811489822172555,0.4570438692823463,1.513205466560301
gaussian_process,-0.0017300406752738806,109,0.473347285274263,0.06452993730924328,0.45,0.06666666666666667,0.5495119586296056,0.25693921355099913,0.46587262200165425,0.18713897134103258,0.4704748192983487,0.07400607073644418,-0.06069789312714289,0.12207965906502155,-0.08626949914842372,0.0978464992595443,-1.1998850635414453,3.8908143790455414
baseline_majority,0.0,109,0.4750773259495369,0.03797873765762581,0.28565203859321503,0.23325935696518085,0.6,0.48989794855663565,0.38703225806451613,0.3160263427684807,0.5,0.0,nan,nan,nan,nan,-0.42637985298685466,3.8585599576030503
baseline_stratified,0.050778196336005665,109,0.5258555222855426,0.11492403093895219,0.5306318681318681,0.14934802537221556,0.5453943115707821,0.1050633512221441,0.5332543048567389,0.11455040880114728,0.5298941254823608,0.11742249728665427,-0.010633971133802878,0.21129793920965373,-0.046369345226189504,0.2291403525293684,0.8130671962215462,4.281581848039079
