model,_acc_delta,n_test,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,ic_mean,ic_std,rank_ic_mean,rank_ic_std,decile_spread_mean,decile_spread_std
extra_trees,0.026841521038886706,3266,0.5658414531908202,0.02521619590700594,0.531737954634218,0.03477867173167,0.5078870571013376,0.024619586445558325,0.5189091343075782,0.02341801877994128,0.5701456691890846,0.028467549018041875,0.0887558931100168,0.07385726085823732,0.10061297973434306,0.06194930892386348,5.534266817490128,4.508609517216344
decision_tree,0.007789497099482956,3266,0.5467894292514165,0.009487369800839663,0.5095195496230548,0.02237118060090793,0.5378211296766103,0.03560146485683521,0.5218973132056609,0.010280077339265111,0.546807940774004,0.007207598158807265,0.07164040644502657,0.018454993647713025,0.08224147605819299,0.023308646620981394,7.209504357208362,0.9392976600415408
random_forest,0.015823132724642086,3266,0.5548230648765756,0.02072569512687501,0.5191305762969602,0.03002328835336807,0.4838592363127905,0.023164519155556427,0.5004354339463136,0.021647033279704804,0.5589879521506744,0.03198806741180329,0.05378498872929766,0.07542727221694172,0.07133448925071983,0.06796992664131504,1.8334844993582085,4.694914590048018
knn,-0.00015236049756250925,3266,0.538847571654371,0.014203880321839744,0.5032333741890173,0.030209201129213555,0.4507601254927667,0.054674145496447245,0.4722711022895331,0.02408164285821412,0.5525553148212999,0.02057655394690822,0.029275257041268484,0.06273511845125214,0.05312380389499055,0.0373796591157904,4.760858924811395,4.904276672290249
stacking,-0.012739115238725285,3266,0.5262608169132083,0.024542095570517026,0.47455019167421164,0.04208753251744442,0.1840651188407423,0.052446604098886386,0.25943059711172684,0.049499236372457324,0.5394066996190148,0.014272780995518174,0.04927979546821112,0.08943495430599344,0.05124528426152367,0.04838686277674921,4.691792015865462,10.004392428074771
gaussian_process,0.016763524204843172,3266,0.5557634563567767,0.004072373179880097,0.5227228943853636,0.013093120134312013,0.4315178187288349,0.028623862686355587,0.47186415440858703,0.013106645722726726,0.5438834897756571,0.014157963337078744,0.00649802893674366,0.05326762603371398,0.03432151620164948,0.026344616497621376,-1.126722042334532,4.309009835942278
voting_soft,-0.0057190500205775985,3266,0.5332808821313559,0.034811044055271,0.4914908020831697,0.0388984576349265,0.41941873684752845,0.0650348689702489,0.4513424912061826,0.050985226972317894,0.5363406648153862,0.043002867233936676,0.0017768091664664837,0.07078015483629158,0.02730736671578801,0.08074527586493009,-0.28945495143215183,3.261064733463198
svm_rbf,0.0019601588316124907,3266,0.540960090983546,0.019579047002039718,0.5071624355600833,0.05188852969593553,0.32620576049009103,0.03783276094150406,0.3948605482676251,0.03059102603540602,0.541814388753543,0.0019482600389801427,-0.03671130547036405,0.038924387988727605,0.02307241031482836,0.01625966971092857,-0.06680130352354337,3.215857687664855
hist_grad_boost,-0.00698601716339442,3266,0.5320139149885391,0.028210246799408083,0.49045351473922905,0.03019572177690189,0.4459444346318908,0.06531650858646143,0.46575217131776875,0.0457712401306208,0.5323884246134578,0.049837252155038356,-0.010972067468116164,0.06510331580776828,0.022789109771033187,0.0827859655685809,-0.4702842451456786,4.650011488896714
grad_boost,-0.005834181310141351,3266,0.5331657508417922,0.015296719255833145,0.49259978904942603,0.019248733577152476,0.37891164699111074,0.030978696332467904,0.42737727960107424,0.020568878185741702,0.5285101852787656,0.03588040751018477,-0.027562399527493075,0.05373847981900311,0.008091015044950347,0.06617207013025479,1.523542061082291,7.076547414704932
naive_bayes,-0.029988231427951817,3266,0.5090117007239817,0.017387645956496906,0.4379673963007296,0.034537256418199186,0.40066872090905864,0.3090491556544947,0.36616341456025725,0.19304084430620505,0.47746798905149657,0.038789394442652364,-0.04466496484970123,0.03080459812317703,-0.08167638159203512,0.054838375558658684,-5.52216018103094,5.733559709136447
ridge,-0.02112431480563537,3266,0.5178756173462982,0.013128968907624012,0.4172602089268756,0.03614550535390185,0.1266379526585497,0.04371270346715992,0.19166301013720358,0.05327087265772154,0.4543832460682771,0.013010558443393815,-0.07650633748978092,0.020386424299948275,-0.12373713732374775,0.013764856296748746,-10.435853109405967,4.727825501239089
lda,-0.02142679514441337,3266,0.5175731370075202,0.013398660229478753,0.4179348834233512,0.03491207470378412,0.12926620171793976,0.04453758403570446,0.19469987743265094,0.053640242646516206,0.45436065291029054,0.012872442019568591,-0.09172946296807084,0.007256893620329728,-0.12374403715068828,0.013616750167087337,-10.11825147812056,4.990423384790892
logistic,-0.023551941936342358,3266,0.5154479902155912,0.015089793401401774,0.4144778448617095,0.03248592693284843,0.13250872402542216,0.046437223669470166,0.19761089689604042,0.054554349896326695,0.4535249596698461,0.012270826025467127,-0.09283407231992245,0.006509088676578022,-0.12585605921375867,0.010564600170256965,-10.288925430812116,4.597635363986788
baseline_majority,0.0,3266,0.5389999321519335,0.0119798789097358,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,nan,nan,nan,nan,1.0583044870934986,6.908541340476819
baseline_stratified,-0.01900020772785993,3266,0.5199997244240736,0.010148305510309354,0.47748577553391836,0.0011892588590575813,0.4366735118005844,0.030834628708632315,0.45554701219900745,0.016706712899270986,0.5144366725938281,0.009622606212107167,0.030624904367151068,0.008353749969888084,0.027659375685960722,0.005750062066731058,2.735161563001095,1.012797153258018
