model,_acc_delta,n_test,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,ic_mean,ic_std,rank_ic_mean,rank_ic_std,decile_spread_mean,decile_spread_std
hist_grad_boost,-0.026909627841220085,3350,0.5082531235657458,0.018444836876029654,0.466858731937581,0.02171975595761133,0.38019832928707264,0.038978386118878904,0.41712401648123104,0.019646836558975284,0.4989917820720041,0.020226336146955865,0.03264745141344529,0.03870415305602273,0.01575153018999164,0.04583146099732232,0.655732392507778,1.320470035360677
knn,-0.02603615483365318,3350,0.5091265965733127,0.02007139546563131,0.46695347843825996,0.035980518042533875,0.372563709968248,0.04543053335770645,0.4123787167750296,0.03203418803020712,0.5006730698896826,0.017990967345399102,0.01123233511400237,0.03486631410142753,0.007304617192820021,0.028484021938523167,-0.03532587033662247,0.9247266864837553
ridge,-0.01168330507957771,3350,0.5234794463273882,0.018085631427127172,0.4854442095372328,0.13034182846762102,0.06112844628741104,0.03704561112170416,0.10164427669765111,0.05318023682910712,0.5070431559616975,0.023103084055323422,0.006709763691620477,0.03511673677948135,0.007171363450112869,0.034908499763563416,0.3486167399059191,0.8600702008100158
lda,-0.011986335382608071,3350,0.5231764160243578,0.01777570473910821,0.48068230477532803,0.13015786038611984,0.06112844628741104,0.03704561112170416,0.10160581737799648,0.05320887416491306,0.5069982210794315,0.023114262626288455,0.007070640935194765,0.035492209653028725,0.00712746190499095,0.034896456254705756,0.37743246922674323,0.879554183831043
logistic,-0.012569730207872665,3350,0.5225930211990932,0.018449547244076745,0.47962390550625844,0.13374889261436299,0.06049753146091262,0.036492288885902086,0.1005938584557331,0.05227800192630548,0.5069780871862273,0.02305107273783003,0.006738918192137025,0.03576251038656344,0.006861020115637037,0.03490781009891862,0.364922067088462,0.8732067065308504
svm_rbf,-0.0014383387683928328,3350,0.5337244126385731,0.009581078860103492,0.6021939736346515,0.22652381639018146,0.04024978943793413,0.029531107743186062,0.07144696871373805,0.048785051936840886,0.4968976420056155,0.01613961659542968,0.03404971667869522,0.04862489702666808,0.004372404569461588,0.02880764793148929,0.3805323852368802,0.5543463686827582
gaussian_process,-0.015777345072823135,3350,0.5193854063341428,0.0070672754822505846,0.4684071083792884,0.03626384671605413,0.2510059042795808,0.05430936260276568,0.3236832200236067,0.04675797891046917,0.499915129110531,0.018477644802865,0.004302747450405769,0.04138647705232535,-0.000307953504914453,0.03797549236204441,0.21362608139582898,0.8460089674518354
decision_tree,-0.040002833581534836,3350,0.49515991782543106,0.020764256753910765,0.45589988522310965,0.017443835429222017,0.4403118736565344,0.019206719453738544,0.4477259935369303,0.015025480656036452,0.4975659259626649,0.02179734693915385,0.000621702343691098,0.05868239850255392,-0.0005926538015227983,0.05969388799210915,-0.3494366610219595,0.45341551055360657
voting_soft,-0.0315887271954115,3350,0.5035740242115544,0.02244549455434316,0.45714390396051235,0.022944492660258057,0.36127525982297976,0.038995594941624113,0.40269241968202535,0.02948738761139742,0.4921052340980805,0.022606178207365366,0.01489643207771282,0.04420720648652898,-0.001972973074255849,0.04490805754310045,0.40081099903749073,0.912511289876648
grad_boost,-0.024356209276856333,3350,0.5108065421301096,0.010254513426027923,0.4506536504703244,0.03426072559273689,0.25785373118681393,0.06413635687583355,0.32495237907180946,0.05655083968065481,0.4940229903703404,0.013650910706642498,0.01792592728763006,0.02369968301233844,-0.0034346868067306425,0.03799258205604623,0.5866387057669431,0.8596653622999398
extra_trees,-0.03886723844725243,3350,0.49629551295971347,0.01248357273809308,0.4542719348973089,0.01954872875863339,0.41963704558828463,0.04227949509279405,0.4354913415552109,0.027584703095827053,0.4892191868557901,0.028628638729901748,0.0018320721642106936,0.06027170198357959,-0.009354242613238185,0.04138911390418191,0.15457547094041507,1.3387303864583298
random_forest,-0.03274470872031232,3350,0.5024180426866536,0.021753386703750644,0.46085781961214495,0.0211888028343932,0.4147424795294897,0.029260154439340328,0.4363049447413875,0.023657191096398703,0.48618586804274255,0.028467408265415863,-0.0054592957251495084,0.05760137870432499,-0.01138824922944815,0.05199212298720645,-0.06149209146530725,1.6079550649417362
naive_bayes,-0.05496293176223027,3350,0.4801998196447356,0.01801623576889616,0.46619943738003994,0.008722462980589485,0.8115649967354527,0.025769937018873215,0.5920118619635758,0.009263006132919667,0.49673681597494357,0.02455803817928009,0.024223348822941894,0.046398866777023415,-0.0172518052238878,0.037051734277626355,0.8437590305627122,0.5715141575911491
stacking,-1.3175230566431217e-05,3350,0.5351495761763995,0.010804062524781607,0.37575757575757573,0.20132709384088596,0.011677331498236338,0.012542080571100673,0.022262449509360342,0.02356477223730713,0.4733320423228878,0.008626489031048462,-0.051311943724181054,0.02071150374975304,-0.050947662105334315,0.017636350060626655,-1.3395802240401775,0.82609549966286
baseline_majority,0.0,3350,0.5351627514069659,0.010821707892007473,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,nan,nan,nan,nan,0.4288997789957042,0.5600266282614871
baseline_stratified,-0.036037148513578754,3350,0.49912560289338714,0.020876504872368216,0.4607154333553673,0.017053161582223118,0.45354363221328625,0.020941264916627938,0.4569924016074972,0.017811467243810004,0.4961973427335371,0.02028058722786646,-0.012883932302072795,0.053343218986043814,-0.0072597897261134055,0.06200964112643539,0.06908196283345527,1.1307095056174137
